,sentence1,sentence2,score
0,در سگ اصحاب خوبی زآن وفود  رفت تا جویای الله گشته بود,جهد كن تا اين خيال افزون شود  تا دلاله رهبر مجنون شود,3.5
1,تقلید,ور بگويد در مثال صورتى‏  بر همان صورت بچسبى اى فتى‏,4
2,اضداد در جهان,"اين جهان از بى‏جهت پيدا شده ست‏		كه ز بى‏جايى جهان را جا شده ست‏
",1.5
3,دوست نمای فرعی,تا هماره دوست بينى در نظر  در دلت نايد ز كين ناخوش صور,3.5
4,گفت ای موسی بیاموزش که ما  رد نکردیم از کرم هرگز دعا,"صِبْغَةَ اللَّهِ‏ نام آن رنگ لطيف‏		لَعْنَةُ اللَّهِ* بوى اين رنگ كثيف‏
",0
5,سجود (سجده),گفت پيغمبر ركوع است و سجود  بر در حق كوفتن حلقه‏ى وجود,4.5
6,تفرقه برخیزد و شرک و دوی  وحدتست اندر وجود معنوی,"چون بدو زنده شدى آن خود وى است‏		وحدت محض است آن شركت كى است‏
",0.5
7,بهر اظهارست این خلق جهان  تا نماند گنج حکمتها نهان,"سعد و نحس اندر دلت مهمان شود		چون ستاره خانه خانه مى‏رود
",0.5
8,رضا,رستم زال ار بود وز حمزه بيش‏  هست در فرمان اسير زال خويش‏,1
9,فنا و عشق,كه فنا شد عاشق و معشوق نيز  هم نه چيزند و هواشان هم نه چيز,4
10,عشق,عشق بحری آسمان بر او کفی   چون زلیخا در هوای یوسفی,5
11,طلب,طالب اويى نگردد طالبت‏  چون بمردى طالبت شد مطلبت‏,4
12,اين چه سر است اين چه سلطانى است باز  اى خداوند خداوندان راز,كم نمود او را و اصحاب و را  آن جهاد ظاهر و باطن خدا,4
13,چون بدادى دست خود در دست پير  پير حكمت كه عليم است و خطير,كه چنين پيران با شيب و وقار  مى‏كندشان اين پيمبر شرمسار,3
14,ابلیس,اين مثال آورد ابليس لعين‏  تا كه شد ملعون حق تا يوم دين‏,4
15,که بیا من باش یا هم‌خوی من  تا ببینی در تجلی روی من," إِنَّ كَيْدَكُنَّ عَظِيمٌ‏
",0
16,فنا و عشق,ترك معشوقى كن و كن عاشقى‏  اى گمان برده كه خوب و فايقى‏,3
17,آن یکی زاهد شنود از مصطفی  که یقین آید به جان رزق از خدا," خَسِرَ الدُّنْيا وَ الْآخِرَةَ
",0
18,وهم و فهم ,چون كه قشر عقل صد برهان دهد  عقل كل كى گام بى‏ايقان نهد,2
19,معجره,او ز سرماها و برف افسرده بود  زنده بود و شکل مرده می نمود,5
20,عاقبت بینی,اين چنين دندان كنان تا نيم شب‏  جانشان از ناف مى‏آمد به لب‏,3.5
21,خواب,اين جهان خواب است اندر ظن مه‏ايست‏  گر رود در خواب دستى باك نيست‏,5
22,هستی و خداوند,گفت الهنا فى حوايجنا اليك‏  و التمسناها وجدناها لديك‏,2
23,دیوانگی,ما جنون واحد لى فى الشجون‏  بل جنون فى جنون فى جنون‏,4
24,عشق بحری آسمان بر او کفی   چون زلیخا در هوای یوسفی,عشق بشكافد فلك را صد شكاف‏  عشق لرزاند زمين را از گزاف‏,5
25,ضد,حكم اين طومار ضد حكم آن‏  پيش از اين كرديم اين ضد را بيان‏,4
26,عنایات حق,آنچه خوردی واده ای مرگ سیاه  از نبات و دارو و برگ و گیاه,5
27,هش چه باشد عقل کل هوشمند   هوش جزوی هش بود اما نژند,عقل با عقل دگر دو تا شود  نور افزون گشت و ره پيدا شود,4.5
28,خلق را چون آب دان صاف و زلال  اندر آن تابان صفات ذوالجلال,"چيست تعظيم خدا افراشتن‏		خويشتن را خوار و خاكى داشتن‏
",1.5
29,معجزه,معجزاتش بى‏شمار و بى‏عدد  موج بخشايش مدد اندر مدد,4.5
30,ضرورت پیروی از پیر,منع كرد از پير و پيرش جد گرفت‏  مانده خلق از جد پير اندر شگفت‏,3.5
31,با چنین قهری که زفت و فایق است  برد لطفش بین که بر وی سابق است,"هم ز عزراييل با قهر و عطب‏		تو بهى چون سبق رحمت بر غضب‏
",2.5
32,عاقبت بين است عقل از خاصيت‏  نفس باشد كاو نبيند عاقبت‏,چون قضا آيد فرو پوشد بصر  تا نداند عقل ما پا را ز سر,3.5
33,اتحاد ظاهر و مظهر,"قلب اعيان است و اكسيرى محيط		ائتلاف خرقه‏ى تن بى‏مخيط
",0.5
34,مشورت  مصاحبت و همنشینی,هر حسد از دوستى خيزد يقين‏  كه شود با دوست غيرى همنشين‏,2.5
35,خوف و رجا,گفت ترسايان پناه جان كنند  دين خود را از ملك پنهان كنند,3
36,و نمی‌دانی کزین دو کیستی  جهد کن چندانک بینی چیستی,"تو منى من خويشتن را امتحان‏		مى‏كنم هر روز در سود و زيان‏
",0.5
37,عالم وهم و خيال چشم بند  آن چنان كه را ز جاى خويش كند,عقل از جان گشت با ادراك و فر  روح او را كى شود زير نظر,2
38,عنایات حق,نام و ناموس ملك را در شكست‏  كورى آن كس كه در حق در شك است‏,4
39,فنا و بقا,واى آن زنده كه با مرده نشست‏  مرده گشت و زندگى از وى بجست‏,4
40,دل ز هر يارى غذايى مى‏خورد  دل ز هر علمى صفايى مى‏برد,قابل خوردن شود اجسام ما  چون بر آيد از تفرج كام ما,3
41,دعا,گر نماز و روزه مى‏فرمايدت‏  نفس مكار است مكرى زايدت‏,4
42,پیوند عشق مجازی با عشق حقیقی,عشق معشوقان دو رخ افروخته‏  عشق عاشق جان او را سوخته‏,3
43,جنس  هم جنس,جفت مایی، جفت باید هم صفت  تا برآید کارها با مصلحت,5
